Image                          PSNR_ReflOnly   SSIM_ReflOnly   PSNR_Combined   SSIM_Combined  
640.png                        10.94           0.312           10.98           0.527          
162.png                        11.94           0.414           11.70           0.585          
113.png                        6.88            0.259           6.81            0.483          
696.png                        15.32           0.426           14.95           0.574          
264.png                        15.23           0.507           15.01           0.648          
249.png                        7.67            0.203           7.50            0.394          
238.png                        10.25           0.303           10.22           0.547          
185.png                        18.84           0.454           18.80           0.719          
694.png                        19.22           0.550           19.06           0.754          
154.png                        13.91           0.311           13.44           0.365          
