Image                          PSNR (dB)  SSIM      
640.png                        10.98      0.527     
162.png                        11.70      0.585     
113.png                        6.81       0.483     
696.png                        14.95      0.574     
264.png                        15.01      0.648     
249.png                        7.50       0.394     
238.png                        10.22      0.547     
185.png                        18.80      0.719     
694.png                        19.06      0.754     
154.png                        13.44      0.365     
